mono_stamp,stereo_stamp,dt,mono_detection_id,stereo_cone_id,u,v,X_mono,Y_mono,X_stereo,Y_stereo,Z_stereo,stereo_color,stereo_confidence,error_x,error_y,error_2d,mono_range,stereo_range,error_range
1757267626.9217591,1757267626.9217591,0.0,0,2,383,407,1.6736069917678833,1.4081710577011108,2.228524684906006,1.4396299123764038,-0.18703633546829224,3.0,0.9314824342727661,-0.5549176931381226,-0.03145885467529297,0.5558086952317468,2.1872142306233764,2.6530843476686345,-0.46587011704525816
1757267626.9217591,1757267626.9217591,0.0,1,1,948,442,0.9348232746124268,-1.4497807025909424,2.3918049335479736,-1.3902790546417236,-0.1295931488275528,3.0,0.9390848875045776,-1.4569816589355469,-0.05950164794921875,1.4581961461282398,1.725038735901947,2.766515261103743,-1.0414765252017961
1757267626.9217591,1757267626.9217591,0.0,2,3,309,461,0.8876311182975769,1.4095432758331299,2.5671958923339844,1.441636085510254,-0.19329017400741577,0.0,0.9145200848579407,-1.6795647740364075,-0.03209280967712402,1.6798713577583673,1.6657434522208387,2.9442841834072015,-1.2785407311863628
1757267626.9217591,1757267626.9217591,0.0,3,0,353,428,1.321621060371399,1.4148409366607666,2.8718409538269043,1.4473716020584106,-0.0178182702511549,3.0,0.944173276424408,-1.5502198934555054,-0.03253066539764404,1.5505611765604128,1.9360932578954806,3.215953205275623,-1.2798599473801424
1757267626.9217591,1757267626.9217591,0.0,4,4,522,309,5.33482027053833,1.3498468399047852,5.9853410720825195,1.4141680002212524,0.6922575831413269,0.0,0.9093039035797119,-0.6505208015441895,-0.06432116031646729,0.6536929897942546,5.502944103854554,6.15013649295751,-0.6471923891029565
1757267626.9217591,1757267626.9217591,0.0,5,5,768,305,5.477976322174072,-1.4295506477355957,6.084788799285889,-1.4349663257598877,0.7504690289497375,1.0,0.9087428450584412,-0.6068124771118164,0.005415678024291992,0.6068366435434182,5.661434415476438,6.251702415180992,-0.5902679997045537
1757267626.9217591,1757267626.9217591,0.0,6,7,875,394,1.7514901161193848,-1.3874512910842896,2.8020901679992676,-1.4136642217636108,-0.13569076359272003,1.0,0.8861882090568542,-1.0506000518798828,0.02621293067932129,1.0509270130436326,2.234443714215097,3.1384957928110526,-0.9040520785959556
1757267626.9217591,1757267626.9217591,0.0,7,6,908,412,1.3973170518875122,-1.4445818662643433,3.060682773590088,-1.3502904176712036,0.04268473759293556,3.0,0.9035484194755554,-1.6633657217025757,-0.09429144859313965,1.666036134485961,2.009803898850677,3.345304657666591,-1.3355007588159142
1757267626.9217591,1757267626.9217591,0.0,8,8,723,276,8.945454597473145,-1.298085331916809,9.365859985351562,-1.3909152746200562,1.595505952835083,1.0,0.8763352632522583,-0.42040538787841797,0.09282994270324707,0.4305323314450277,9.039147276396761,9.468578487100425,-0.4294312107036635
1757267626.9217591,1757267626.9217591,0.0,9,9,672,261,12.38636302947998,-0.5598365068435669,12.35116958618164,-0.6253966689109802,2.412205457687378,1.0,0.8432610630989075,0.035193443298339844,0.06556016206741333,0.07440909421232705,12.399008267295544,12.36699280909079,0.0320154582047536
