bbox_stamp,detection_id,x_min,y_min,x_max,y_max,u_bottom_center,v_bottom_center,X_mono,Y_mono,inside_roi
1757267626.9217591,0,356,311,410,407,383,407,1.6736069917678833,1.4081710577011108,1
1757267626.9217591,1,907,326,990,442,948,442,0.9348232746124268,-1.4497807025909424,1
1757267626.9217591,2,263,338,355,461,309,461,0.8876311182975769,1.4095432758331299,1
1757267626.9217591,3,328,362,378,428,353,428,1.321621060371399,1.4148409366607666,1
1757267626.9217591,4,511,282,534,309,522,309,5.33482027053833,1.3498468399047852,1
1757267626.9217591,5,757,278,780,305,768,305,5.477976322174072,-1.4295506477355957,1
1757267626.9217591,6,848,303,903,394,875,394,1.7514901161193848,-1.3874512910842896,1
1757267626.9217591,7,884,350,933,412,908,412,1.3973170518875122,-1.4445818662643433,1
1757267626.9217591,8,716,258,730,276,723,276,8.945454597473145,-1.298085331916809,1
1757267626.9217591,9,667,247,677,261,672,261,12.38636302947998,-0.5598365068435669,1
1757267626.9217591,12,558,259,572,278,565,278,8.762043952941895,1.3110042810440063,1
1757267626.988511,0,356,311,409,407,382,407,1.6739637851715088,1.4136587381362915,1
1757267626.988511,1,906,326,990,442,948,442,0.9348232746124268,-1.4497807025909424,1
1757267626.988511,2,262,338,355,461,308,461,0.8879134654998779,1.4138401746749878,1
1757267626.988511,3,328,362,378,428,353,428,1.321621060371399,1.4148409366607666,1
1757267626.988511,4,511,282,535,309,523,309,5.334138870239258,1.3388067483901978,1
1757267626.988511,5,757,278,779,305,768,305,5.477976322174072,-1.4295506477355957,1
1757267626.988511,6,849,303,903,394,876,394,1.7511073350906372,-1.3933608531951904,1
1757267626.988511,7,884,350,934,412,909,412,1.3969670534133911,-1.4499597549438477,1
1757267626.988511,8,715,258,730,276,722,276,8.946435928344727,-1.2812623977661133,1
1757267626.988511,9,667,247,677,261,672,261,12.38636302947998,-0.5598365068435669,1
1757267626.988511,12,558,259,572,278,565,278,8.762043952941895,1.3110042810440063,1
1757267627.021736,0,356,311,409,407,382,407,1.6739637851715088,1.4136587381362915,1
1757267627.021736,1,906,326,990,442,948,442,0.9348232746124268,-1.4497807025909424,1
1757267627.021736,2,263,338,355,461,309,461,0.8876311182975769,1.4095432758331299,1
1757267627.021736,3,328,362,378,428,353,428,1.321621060371399,1.4148409366607666,1
1757267627.021736,4,511,282,535,309,523,309,5.334138870239258,1.3388067483901978,1
1757267627.021736,5,757,278,779,305,768,305,5.477976322174072,-1.4295506477355957,1
1757267627.021736,6,849,303,903,394,876,394,1.7511073350906372,-1.3933608531951904,1
1757267627.021736,7,884,350,933,412,908,412,1.3973170518875122,-1.4445818662643433,1
1757267627.021736,8,715,258,730,276,722,276,8.946435928344727,-1.2812623977661133,1
1757267627.021736,9,667,247,677,261,672,261,12.38636302947998,-0.5598365068435669,1
1757267627.021736,12,558,259,572,278,565,278,8.762043952941895,1.3110042810440063,1
1757267627.0885391,0,355,311,409,407,382,407,1.6739637851715088,1.4136587381362915,1
1757267627.0885391,1,907,326,990,442,948,442,0.9348232746124268,-1.4497807025909424,1
1757267627.0885391,2,263,338,355,461,309,461,0.8876311182975769,1.4095432758331299,1
1757267627.0885391,3,328,362,378,429,353,429,1.3060998916625977,1.408082127571106,1
1757267627.0885391,4,511,282,534,309,522,309,5.33482027053833,1.3498468399047852,1
1757267627.0885391,5,757,278,780,305,768,305,5.477976322174072,-1.4295506477355957,1
1757267627.0885391,6,849,303,903,394,876,394,1.7511073350906372,-1.3933608531951904,1
1757267627.0885391,7,716,258,730,276,723,276,8.945454597473145,-1.298085331916809,1
1757267627.0885391,8,667,248,677,261,672,261,12.38636302947998,-0.5598365068435669,1
1757267627.0885391,9,540,248,548,260,544,260,12.845402717590332,2.291430950164795,1
1757267627.0885391,11,558,259,572,278,565,278,8.762043952941895,1.3110042810440063,1
1757267627.121799,0,355,311,409,407,382,407,1.6739637851715088,1.4136587381362915,1
1757267627.121799,1,906,326,990,442,948,442,0.9348232746124268,-1.4497807025909424,1
1757267627.121799,2,263,338,355,461,309,461,0.8876311182975769,1.4095432758331299,1
1757267627.121799,3,328,363,377,428,352,428,1.3219445943832397,1.4197946786880493,1
1757267627.121799,4,511,282,534,309,522,309,5.33482027053833,1.3498468399047852,1
1757267627.121799,5,757,278,779,305,768,305,5.477976322174072,-1.4295506477355957,1
1757267627.121799,6,849,303,903,394,876,394,1.7511073350906372,-1.3933608531951904,1
1757267627.121799,7,716,258,730,276,723,276,8.945454597473145,-1.298085331916809,1
1757267627.121799,8,667,248,677,261,672,261,12.38636302947998,-0.5598365068435669,1
1757267627.121799,11,558,260,572,278,565,278,8.762043952941895,1.3110042810440063,1
1757267627.1717641,0,356,311,409,407,382,407,1.6739637851715088,1.4136587381362915,1
1757267627.1717641,1,907,326,990,442,948,442,0.9348232746124268,-1.4497807025909424,1
1757267627.1717641,2,263,338,355,461,309,461,0.8876311182975769,1.4095432758331299,1
1757267627.1717641,3,328,362,378,428,353,428,1.321621060371399,1.4148409366607666,1
1757267627.1717641,4,511,282,535,309,523,309,5.334138870239258,1.3388067483901978,1
1757267627.1717641,5,757,278,779,305,768,305,5.477976322174072,-1.4295506477355957,1
1757267627.1717641,6,849,303,903,394,876,394,1.7511073350906372,-1.3933608531951904,1
1757267627.1717641,7,884,350,934,412,909,412,1.3969670534133911,-1.4499597549438477,1
1757267627.1717641,8,716,258,730,276,723,276,8.945454597473145,-1.298085331916809,1
1757267627.1717641,9,667,248,677,261,672,261,12.38636302947998,-0.5598365068435669,1
1757267627.1717641,12,558,259,572,278,565,278,8.762043952941895,1.3110042810440063,1
1757267627.221699,0,355,311,409,407,382,407,1.6739637851715088,1.4136587381362915,1
1757267627.221699,1,906,326,990,442,948,442,0.9348232746124268,-1.4497807025909424,1
1757267627.221699,2,263,338,355,461,309,461,0.8876311182975769,1.4095432758331299,1
1757267627.221699,3,328,362,378,428,353,428,1.321621060371399,1.4148409366607666,1
1757267627.221699,4,511,282,534,309,522,309,5.33482027053833,1.3498468399047852,1
1757267627.221699,5,757,278,780,305,768,305,5.477976322174072,-1.4295506477355957,1
1757267627.221699,6,848,303,903,394,875,394,1.7514901161193848,-1.3874512910842896,1
1757267627.221699,7,884,350,934,412,909,412,1.3969670534133911,-1.4499597549438477,1
1757267627.221699,8,715,258,730,276,722,276,8.946435928344727,-1.2812623977661133,1
1757267627.221699,9,667,248,677,261,672,261,12.38636302947998,-0.5598365068435669,1
1757267627.221699,12,558,260,572,278,565,278,8.762043952941895,1.3110042810440063,1
1757267627.255765,0,356,311,409,407,382,407,1.6739637851715088,1.4136587381362915,1
1757267627.255765,1,906,326,990,442,948,442,0.9348232746124268,-1.4497807025909424,1
1757267627.255765,2,263,338,355,461,309,461,0.8876311182975769,1.4095432758331299,1
1757267627.255765,3,328,362,378,428,353,428,1.321621060371399,1.4148409366607666,1
1757267627.255765,4,757,278,780,305,768,305,5.477976322174072,-1.4295506477355957,1
1757267627.255765,5,511,282,535,309,523,309,5.334138870239258,1.3388067483901978,1
1757267627.255765,6,849,303,903,394,876,394,1.7511073350906372,-1.3933608531951904,1
1757267627.255765,7,884,350,933,412,908,412,1.3973170518875122,-1.4445818662643433,1
1757267627.255765,8,715,258,730,276,722,276,8.946435928344727,-1.2812623977661133,1
1757267627.255765,9,667,247,677,261,672,261,12.38636302947998,-0.5598365068435669,1
1757267627.255765,12,558,259,572,278,565,278,8.762043952941895,1.3110042810440063,1
1757267627.288445,0,356,311,409,407,382,407,1.6739637851715088,1.4136587381362915,1
1757267627.288445,1,907,326,990,442,948,442,0.9348232746124268,-1.4497807025909424,1
1757267627.288445,2,263,338,355,461,309,461,0.8876311182975769,1.4095432758331299,1
1757267627.288445,3,329,363,377,428,353,428,1.321621060371399,1.4148409366607666,1
1757267627.288445,4,511,282,535,309,523,309,5.334138870239258,1.3388067483901978,1
1757267627.288445,5,757,278,780,305,768,305,5.477976322174072,-1.4295506477355957,1
1757267627.288445,6,849,303,903,394,876,394,1.7511073350906372,-1.3933608531951904,1
1757267627.288445,7,715,258,730,276,722,276,8.946435928344727,-1.2812623977661133,1
1757267627.288445,8,667,248,677,261,672,261,12.38636302947998,-0.5598365068435669,1
1757267627.288445,11,558,259,572,278,565,278,8.762043952941895,1.3110042810440063,1
1757267627.355125,0,356,311,409,407,382,407,1.6739637851715088,1.4136587381362915,1
1757267627.355125,1,907,326,990,442,948,442,0.9348232746124268,-1.4497807025909424,1
1757267627.355125,2,263,338,355,461,309,461,0.8876311182975769,1.4095432758331299,1
1757267627.355125,3,329,363,377,428,353,428,1.321621060371399,1.4148409366607666,1
